;;;;;
Function;FunctionGroup;Process;Invocation;Exclusive Time;Inclusive Time
sync time;VT_API;Process 0;2;3.066547;3.066547
sync time;VT_API;Process 1;2;3.161646;3.161646
sync time;VT_API;Process 2;2;3.121988;3.121988
sync time;VT_API;Process 3;2;3.136755;3.136755
sync time;VT_API;Process 4;2;3.168345;3.168345
sync time;VT_API;Process 5;2;3.097106;3.097106
sync time;VT_API;Process 6;2;3.117453;3.117453
sync time;VT_API;Process 7;2;3.102122;3.102122
sync time;VT_API;Process 8;2;3.089806;3.089806
sync time;VT_API;Process 9;2;3.113013;3.113013
sync time;VT_API;Process 10;2;3.168134;3.168134
sync time;VT_API;Process 11;2;3.163271;3.163271
sync time;VT_API;Process 12;2;3.151414;3.151414
sync time;VT_API;Process 13;2;3.160956;3.160956
sync time;VT_API;Process 14;2;3.134035;3.134035
sync time;VT_API;Process 15;2;3.115092;3.115092
sync time;VT_API;Process 16;2;3.162123;3.162123
sync time;VT_API;Process 17;2;3.177659;3.177659
sync time;VT_API;Process 18;2;3.151676;3.151676
sync time;VT_API;Process 19;2;3.135926;3.135926
sync time;VT_API;Process 20;2;3.173743;3.173743
sync time;VT_API;Process 21;2;3.123388;3.123388
sync time;VT_API;Process 22;2;3.127563;3.127563
sync time;VT_API;Process 23;2;3.099744;3.099744
sync time;VT_API;Process 24;2;3.168676;3.168676
sync time;VT_API;Process 25;2;3.179655;3.179655
sync time;VT_API;Process 26;2;3.097545;3.097545
sync time;VT_API;Process 27;2;3.107451;3.107451
sync time;VT_API;Process 28;2;3.159019;3.159019
sync time;VT_API;Process 29;2;3.117435;3.117435
sync time;VT_API;Process 30;2;3.111378;3.111378
sync time;VT_API;Process 31;2;3.087482;3.087482
parallel region;OMP-PREG;Process 1;3966;2.488469;119.947792
parallel region;OMP-PREG;Process 2;3522;2.349686;116.519981
parallel region;OMP-PREG;Process 3;3597;2.852442;116.514667
parallel region;OMP-PREG;Process 4;4050;2.160585;119.342734
parallel region;OMP-PREG;Process 5;4053;2.283726;117.430101
parallel region;OMP-PREG;Process 6;3600;3.041695;126.873242
parallel region;OMP-PREG;Process 7;3150;2.391209;129.332694
parallel region;OMP-PREG;Process 8;3627;2.712732;118.316978
parallel region;OMP-PREG;Process 9;3600;2.688999;125.043196
parallel region;OMP-PREG;Process 10;3600;2.287704;117.538807
parallel region;OMP-PREG;Process 11;3600;2.630937;118.989175
parallel region;OMP-PREG;Process 12;3600;2.639861;120.620021
parallel region;OMP-PREG;Process 13;3600;2.392285;118.195204
parallel region;OMP-PREG;Process 14;3600;2.305774;123.402212
parallel region;OMP-PREG;Process 15;3600;2.774084;125.623784
parallel region;OMP-PREG;Process 16;4500;2.429507;118.385213
parallel region;OMP-PREG;Process 17;4053;2.171168;115.144781
parallel region;OMP-PREG;Process 18;3600;2.329881;119.929307
parallel region;OMP-PREG;Process 19;3600;2.662894;121.440109
parallel region;OMP-PREG;Process 20;3651;2.668756;118.135415
parallel region;OMP-PREG;Process 21;3600;2.704106;123.985657
parallel region;OMP-PREG;Process 22;3600;2.435442;123.290607
parallel region;OMP-PREG;Process 23;3600;2.779708;126.105446
parallel region;OMP-PREG;Process 24;3606;2.730392;117.669764
parallel region;OMP-PREG;Process 25;3594;2.769218;127.429175
parallel region;OMP-PREG;Process 26;3600;2.756648;126.844182
parallel region;OMP-PREG;Process 27;3600;2.287169;125.268690
parallel region;OMP-PREG;Process 28;4500;2.415213;117.143509
parallel region;OMP-PREG;Process 29;4131;2.217506;113.291512
parallel region;OMP-PREG;Process 30;3600;2.486945;124.661380
parallel region;OMP-PREG;Process 31;3600;2.740967;127.278383
open;LIBC-I/O;Process 0;14;0.000132;0.000132
open;LIBC-I/O;Process 1;14;0.000083;0.000083
open;LIBC-I/O;Process 2;14;0.000136;0.000136
open;LIBC-I/O;Process 3;14;0.000083;0.000083
open;LIBC-I/O;Process 4;14;0.000134;0.000134
open;LIBC-I/O;Process 5;14;0.000080;0.000080
open;LIBC-I/O;Process 6;14;0.000130;0.000130
open;LIBC-I/O;Process 7;14;0.000091;0.000091
