Process to;Process;Msg Length Field;Rate Field;Invocation;Msg Length;Duration;Rate
Process 0;Process 1;<2;<4;150;0;0.003463;0.000000
Process 0;Process 1;<8;<4096;150;600;0.211042;2843.034678
Process 0;Process 1;<8;<262144;1082;4328;0.025203;171728.553669
Process 0;Process 1;<8;<1048576;90;360;0.001125;319888.703658
Process 0;Process 2;<2;<4;149;0;830.575233;0.000000
Process 0;Process 2;<8;<4;462;1848;4922.671540;0.375406
Process 0;Process 2;<8;<1024;9;36;0.040242;894.588153
Process 0;Process 2;<8;<4096;141;564;0.376972;1496.132562
Process 0;Process 2;<8;<65536;290;1160;0.026102;44441.681030
Process 0;Process 2;<8;<262144;214;856;0.008813;97124.448571
Process 0;Process 2;<8;<1048576;39;156;0.000413;378126.210978
Process 0;Process 2;<8;<4194304;10;40;0.000027;1463095.132124
Process 0;Process 2;<8;<16777216;1;4;0.000001;6854768.590164
Process 0;Process 3;<2;<4;149;0;917.341492;0.000000
Process 0;Process 3;<8;<4;525;2100;4967.066832;0.422785
Process 0;Process 3;<8;<1024;20;80;0.120709;662.749434
Process 0;Process 3;<8;<4096;130;520;0.387594;1341.610724
Process 0;Process 3;<8;<16384;1;4;0.000674;5932.628109
Process 0;Process 3;<8;<65536;237;948;0.021263;44583.988919
Process 0;Process 3;<8;<262144;216;864;0.008981;96199.728318
Process 0;Process 3;<8;<1048576;53;212;0.000484;438309.401668
Process 0;Process 3;<8;<4194304;8;32;0.000019;1678572.826720
Process 0;Process 3;<8;<16777216;1;4;0.000001;7619185.204082
Process 0;Process 4;<2;<4;150;0;0.009449;0.000000
Process 0;Process 4;<8;<1024;150;600;0.710769;844.156054
Process 0;Process 4;<8;<65536;1199;4796;0.113938;42092.884848
Process 0;Process 4;<8;<262144;1;4;0.000061;65713.185356
Process 0;Process 5;<2;<4;150;0;0.011306;0.000000
Process 0;Process 5;<8;<1024;150;600;0.765290;784.016498
Process 0;Process 5;<8;<65536;1198;4792;0.089422;53588.791151
Process 0;Process 5;<8;<262144;3;12;0.000174;68922.806751
Process 0;Process 6;<2;<4;150;0;0.010970;0.000000
Process 0;Process 6;<8;<1024;150;600;0.968731;619.367115
Process 0;Process 6;<8;<65536;1050;4200;0.083526;50283.553877
Process 0;Process 7;<2;<4;150;0;0.010846;0.000000
Process 0;Process 7;<8;<256;1;4;0.015702;254.741186
Process 0;Process 7;<8;<1024;149;596;1.013411;588.112990
Process 0;Process 7;<8;<65536;900;3600;0.078405;45915.585184
Process 0;Process 8;<2;<4;150;0;0.012621;0.000000
Process 0;Process 8;<8;<256;3;12;0.050852;235.978387
Process 0;Process 8;<8;<1024;147;588;1.173313;501.145141
Process 0;Process 8;<8;<65536;1058;4232;0.086883;48709.170562
Process 0;Process 8;<8;<262144;1;4;0.000057;70744.715222
Process 0;Process 9;<2;<4;150;0;0.011113;0.000000
Process 0;Process 9;<8;<256;3;12;0.052569;228.273039
Process 0;Process 9;<8;<1024;147;588;1.221890;481.221848
